transcript_id,gene_symbol,cell_type_of_origin,trait,timepoint,p_val_adj,avg_log2FC
ENST00000546591,RPL41,Cajal-Retzius Cells,SCZ,1M,6.25348085876986e-05,0.803765162653162
ENST00000379066,PRKD3,Apical Radial Glia (aRG) - Cycling,SCZ,1M,6.85130569522143e-05,0.653870279229658
ENST00000549578,VPS29,Apical Radial Glia (aRG) - Cycling,SCZ,1M,7.21384023153841e-05,-1.30083114563354
ENST00000404621,NCOR2,Deep Layer Projection Neurons,SCZ,1M,7.31457694090347e-05,1.04604801421336
ENST00000338128,ISYNA1,Preplate Neurons,SCZ,1M,8.3190358561854e-05,-0.754392893089869
ENST00000330062,IDH2,Preplate Neurons,SCZ,1M,0.000105306870571214,-0.675486507569328
ENST00000418115,RHOA,Subcortical Progenitors,SCZ,1M,0.000326988775794171,0.74457427638571
ENST00000274712,ZMAT2,Radial Glia (Mixed),SCZ,1M,0.000418528771747452,-0.739953368903156
ENST00000546591,RPL41,Deep Layer Projection Neurons,SCZ,1M,0.000454904413468766,0.516512114023525
ENST00000291232,TNFRSF13C,Preplate Neurons,SCZ,1M,0.000549623613753742,-3.12798154312219
ENST00000598810,TEAD2,Preplate Neurons,SCZ,1M,0.000856035504114559,-0.691669335966438
ENST00000360579,VPS29,Cajal-Retzius Cells,SCZ,1M,0.000877936196131422,-1.5631709695755
ENST00000660624,AP3B2,Apical Radial Glia (aRG),SCZ,1M,0.00108992943692034,-1.97713633973958
ENST00000330062,IDH2,Cajal-Retzius Cells,SCZ,1M,0.00138764062353817,-0.885294356722736
ENST00000521699,LY6E,Deep Layer Projection Neurons,SCZ,1M,0.00168096802564745,2.11976610604803
ENST00000286953,ATP5MJ,Apical Radial Glia (aRG) - Cycling,SCZ,1M,0.00187391364680035,-0.400223729629092
ENST00000265192,PAIP2,Preplate Neurons,SCZ,1M,0.00195521565906562,0.407690898524032
ENST00000586064,,Cortical Hem Cells,SCZ,1M,0.00199172226674808,1.74233695970799
ENST00000308748,ASPHD1,Apical Radial Glia (aRG),SCZ,1M,0.00199297871659267,-3.24170954749235
ENST00000598810,TEAD2,Deep Layer Projection Neurons,SCZ,1M,0.00240706489108316,-2.41462281261462
ENST00000660624,AP3B2,Deep Layer Projection Neurons,SCZ,1M,0.0026681495935187,1.27056648971643
ENST00000376630,HLA-E,Preplate Neurons,SCZ,1M,0.003056969952251,-2.14860470240277
ENST00000509627,C5orf49,Cortical Hem Cells,SCZ,1M,0.00313695446227262,2.30079348831454
ENST00000422774,KIAA1549,Cajal-Retzius Cells,SCZ,1M,0.00321611306634518,1.17235942557207
ENST00000564636,FANCI,Subcortical Progenitors,SCZ,1M,0.00492293156101627,4.67241234078133
ENST00000561030,LINGO1,Apical Radial Glia (aRG) - Cycling,SCZ,1M,0.00501947090546205,-3.25254937466033
ENST00000323588,PPM1M,Cortical Hem Cells,SCZ,1M,0.00708350103799831,3.07766749505823
ENST00000598810,TEAD2,Apical Radial Glia (aRG) - Cycling,SCZ,1M,0.00956995280215883,0.601865433311126
ENST00000286953,ATP5MJ,Apical Radial Glia (aRG),SCZ,1M,0.0102790569211069,-0.333281255183323
ENST00000274712,ZMAT2,Deep Layer Projection Neurons,SCZ,1M,0.0124451477094737,0.52235650069008
ENST00000265192,PAIP2,Radial Glia (Mixed),SCZ,1M,0.0130752873210171,-0.427845493372368
ENST00000291232,TNFRSF13C,Apical Radial Glia (aRG),SCZ,1M,0.0135685025712929,1.34856897936624
ENST00000342392,DIABLO,Apical Radial Glia (aRG) - Cycling,SCZ,1M,0.0143470698449354,0.727266511899679
ENST00000377918,PCDH17,Cajal-Retzius Cells,SCZ,1M,0.017447777617762,1.3494454926103
ENST00000308748,ASPHD1,Apical Radial Glia (aRG) - Cycling,SCZ,1M,0.0232207342024736,-4.03918767566057
ENST00000382044,TP53BP1,Radial Glia (Mixed),SCZ,1M,0.0307257679594088,-0.777610028570998
ENST00000561030,LINGO1,Apical Radial Glia (aRG),SCZ,1M,0.0325650014546611,-2.23529242974448
ENST00000564079,TUBGCP4,Preplate Neurons,SCZ,1M,0.0347127358961995,-0.968776553039566
ENST00000553286,KLC1,Deep Layer Projection Neurons,SCZ,1M,0.0356690487439856,0.891788817509402
ENST00000526986,ZDHHC24,Deep Layer Projection Neurons,SCZ,1M,0.0490499043025797,3.77879214203984
ENST00000392061,CEBPZOS,Cortical Hem Cells,SCZ,1M,0.0491128685279162,0.847210689733882
