transcript_id,gene_symbol,cell_type_of_origin,trait,timepoint,p_val_adj,avg_log2FC
ENST00000376630,HLA-E,Outer Radial Glia (oRG),SCZ,3M,8.39238172867036e-73,3.46108577278564
ENST00000443023,SATB2,Callosal Projection Neurons (Upper Layer),SCZ,3M,1.89840599488646e-57,2.13498139127385
ENST00000376630,HLA-E,Cortical Hem Cells,SCZ,3M,2.23877881969774e-53,3.74094595739265
ENST00000426395,FCGRT,Cortical Hem Cells,SCZ,3M,1.00094627997186e-45,6.56429111115383
ENST00000377918,PCDH17,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,6.3504038631467e-40,0.972712607310178
ENST00000377918,PCDH17,Corticofugal Projection Neurons (Deep Layer),SCZ,3M,2.18110000397909e-39,1.86451996065656
ENST00000216554,EIF5,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,3.0129117394564e-36,0.922684055326203
ENST00000330062,IDH2,Apical Radial Glia (aRG) - Cycling,SCZ,3M,9.11813526988748e-24,1.84636846264031
ENST00000406925,HYPK,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,5.34379866451958e-23,1.28382567647474
ENST00000464585,GRM2,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,4.2666466516979e-22,1.49148869497175
ENST00000377918,PCDH17,Intermediate Progenitors (IP),SCZ,3M,6.34146473465012e-20,-3.37554615134052
ENST00000291232,TNFRSF13C,Apical Radial Glia (aRG) - Cycling,SCZ,3M,7.12832445284866e-20,2.71991058786829
ENST00000377918,PCDH17,Callosal Projection Neurons (Upper Layer),SCZ,3M,8.95697978011708e-19,-1.23352629295834
ENST00000443023,SATB2,Intermediate Progenitors (IP),SCZ,3M,5.22530551187716e-18,-2.78007334536332
ENST00000418115,RHOA,Apical Radial Glia (aRG) - Cycling,SCZ,3M,2.1781030764953e-16,1.67623566966812
ENST00000360579,VPS29,Apical Radial Glia (aRG) - Cycling,SCZ,3M,1.43353846345842e-15,1.99143962439412
ENST00000549578,VPS29,Intermediate Progenitors (IP),SCZ,3M,1.49020115653101e-15,-1.07038369533277
ENST00000561030,LINGO1,Intermediate Progenitors (IP),SCZ,3M,2.81891463371583e-15,-2.6500326728043
ENST00000670012,,Cortical Hem Cells,SCZ,3M,4.05323479726092e-15,4.93454651569735
ENST00000459996,GPR155,Cortical Hem Cells,SCZ,3M,5.2512275582946e-15,6.74028186044023
ENST00000539846,TEAD2,Cortical Hem Cells,SCZ,3M,5.2512275582946e-15,6.55852521729872
ENST00000463826,CCDC150,Apical Radial Glia (aRG) - Cycling,SCZ,3M,1.32749629713381e-14,3.92099782249566
ENST00000216554,EIF5,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,7.89465763069462e-14,-0.559642656321997
ENST00000598810,TEAD2,Outer Radial Glia (oRG),SCZ,3M,1.04462925299362e-13,2.49595922184303
ENST00000367701,ZBTB37,Intermediate Progenitors (IP),SCZ,3M,5.15923462348342e-12,-0.94691334441401
ENST00000360579,VPS29,Outer Radial Glia (oRG),SCZ,3M,9.37006240805976e-12,1.81581950624175
ENST00000267890,TTBK2,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,2.30168444137921e-11,0.557277136018303
ENST00000549578,VPS29,Outer Radial Glia (oRG),SCZ,3M,3.5372161790212e-11,-1.52231681413226
ENST00000382044,TP53BP1,Intermediate Progenitors (IP),SCZ,3M,3.79801550976555e-11,-1.02159842791586
ENST00000372569,CRIP3,Apical Radial Glia (aRG) - Cycling,SCZ,3M,2.57122071810419e-10,3.30070682252
ENST00000662685,TOX-DT,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,5.96415305149003e-10,1.96419317655973
ENST00000342392,DIABLO,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,1.3318482679242e-09,1.45404131689779
ENST00000377918,PCDH17,Outer Radial Glia (oRG),SCZ,3M,6.17831809780095e-09,-4.23730162190283
ENST00000598810,TEAD2,Intermediate Progenitors (IP),SCZ,3M,1.34414956880644e-08,2.23392589309844
ENST00000549578,VPS29,Callosal Projection Neurons (Upper Layer),SCZ,3M,7.96945011368625e-08,0.441926143950851
ENST00000470019,PTK7,Intermediate Progenitors (IP),SCZ,3M,8.87210066282069e-08,1.67346833261223
ENST00000561030,LINGO1,Corticofugal Projection Neurons (Deep Layer),SCZ,3M,1.9257607622094e-07,0.869085722991471
ENST00000443023,SATB2,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,2.81475100342087e-07,-1.43602811945353
ENST00000521699,LY6E,Callosal Projection Neurons (Upper Layer),SCZ,3M,4.63041897875272e-07,1.30237503334077
ENST00000392547,WIPF1,Apical Radial Glia (aRG) - Cycling,SCZ,3M,9.67720255177524e-07,2.6855989219073
ENST00000392547,WIPF1,Outer Radial Glia (oRG),SCZ,3M,1.21836137831456e-06,3.08379111975917
ENST00000216554,EIF5,Intermediate Progenitors (IP),SCZ,3M,1.96189445195268e-06,-0.46653521315585
ENST00000395353,MVP,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,2.94891884279931e-06,1.27181448158694
ENST00000418115,RHOA,Outer Radial Glia (oRG),SCZ,3M,3.0458878036685e-06,1.10946504271317
ENST00000418458,GNL3,Intermediate Progenitors (IP),SCZ,3M,3.34359087160476e-06,-0.656242642211612
ENST00000546591,RPL41,Intermediate Progenitors (IP),SCZ,3M,3.72736147463943e-06,-0.710278268485877
ENST00000345358,BAX,Outer Radial Glia (oRG),SCZ,3M,3.91242078528112e-06,0.796113963718628
ENST00000443023,SATB2,Outer Radial Glia (oRG),SCZ,3M,4.27585138392397e-06,-2.72649143831977
ENST00000561030,LINGO1,Outer Radial Glia (oRG),SCZ,3M,5.54593529876623e-06,-2.89157325875022
ENST00000376630,HLA-E,Callosal Projection Neurons (Upper Layer),SCZ,3M,5.9015178034975e-06,-2.78497925580664
ENST00000370007,NOLC1,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,6.50724787764945e-06,0.932221847424921
ENST00000422987,LRRN3,Corticofugal Projection Neurons (Deep Layer),SCZ,3M,7.34938006250278e-06,1.00647311437241
ENST00000418458,GNL3,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,1.13971545040511e-05,0.752087406764
ENST00000492537,CBY1,Cortical Hem Cells,SCZ,3M,2.3495500248946e-05,6.58377918766493
ENST00000519113,CTNNA1,Outer Radial Glia (oRG),SCZ,3M,2.45688401120794e-05,4.65077357598975
ENST00000607056,,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,2.73846581338311e-05,0.633829705941952
ENST00000311445,CNIH2,Outer Radial Glia (oRG),SCZ,3M,3.03297373250224e-05,-1.72490488967766
ENST00000564636,FANCI,Apical Radial Glia (aRG) - Cycling,SCZ,3M,4.59625185958228e-05,4.70558183781183
ENST00000267890,TTBK2,Intermediate Progenitors (IP),SCZ,3M,5.16887840750907e-05,-0.619790587748196
ENST00000345358,BAX,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,7.45611244737427e-05,-0.53602258649413
ENST00000370007,NOLC1,Intermediate Progenitors (IP),SCZ,3M,0.000108184789746519,-0.626535151675328
ENST00000429095,LINC01122,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.000109433371627877,1.02652137455889
ENST00000376630,HLA-E,Apical Radial Glia (aRG) - Cycling,SCZ,3M,0.000141821413030478,1.94518944815082
ENST00000595077,REX1BD,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.000180354589524918,0.999212642689987
ENST00000424528,MIR137HG,Intermediate Progenitors (IP),SCZ,3M,0.000247858442013133,-3.23301896056451
ENST00000422987,LRRN3,Intermediate Progenitors (IP),SCZ,3M,0.000255308589295132,-1.50382772995835
ENST00000264157,CCNT2,Intermediate Progenitors (IP),SCZ,3M,0.000361608475876184,-0.714433220016224
ENST00000357402,MVP,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,0.000374602906889764,1.55072855362705
ENST00000376809,HLA-A,Intermediate Progenitors (IP),SCZ,3M,0.000709581205463076,1.73542195688725
ENST00000376630,HLA-E,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.000935243058034291,-2.56789089436416
ENST00000424528,MIR137HG,Callosal Projection Neurons (Upper Layer),SCZ,3M,0.00125730677136624,0.690511403542885
ENST00000274712,ZMAT2,Callosal Projection Neurons (Upper Layer),SCZ,3M,0.00132727407427535,0.322437767074761
ENST00000667061,,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,0.00134430403113531,1.32356876278114
ENST00000323588,PPM1M,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.00166594011062373,1.25406517545897
ENST00000313486,PITPNA,Intermediate Progenitors (IP),SCZ,3M,0.00197205699637492,-0.576674780071629
ENST00000265192,PAIP2,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.00198275001911122,-0.561167144434565
ENST00000265192,PAIP2,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,0.00214102463215049,0.469086561423432
ENST00000360579,VPS29,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.00242806247079843,-1.57719912651627
ENST00000636627,CACNA1D,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.0025771414596939,1.52219415317387
ENST00000594793,BCL2L12,Apical Radial Glia (aRG) - Cycling,SCZ,3M,0.00337688947621227,5.09512630155044
ENST00000574426,CLUH,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,0.00350267212335001,0.745939033053144
ENST00000470019,PTK7,Callosal Projection Neurons (Upper Layer),SCZ,3M,0.00371892332033811,-0.707431107253983
ENST00000290650,UBR1,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,0.00382490711130178,0.674681838158685
ENST00000398970,CRK,Intermediate Progenitors (IP),SCZ,3M,0.00480196943913902,-0.54779510451602
ENST00000267890,TTBK2,Outer Radial Glia (oRG),SCZ,3M,0.00504824358991979,-1.04583229458852
ENST00000663717,MIR9-3HG,Intermediate Progenitors (IP),SCZ,3M,0.00529202016610036,1.13366603980816
ENST00000345358,BAX,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,0.00567227270323405,0.544704914328324
ENST00000607056,,Intermediate Progenitors (IP),SCZ,3M,0.00570549781513939,-0.930152211448306
ENST00000330062,IDH2,Outer Radial Glia (oRG),SCZ,3M,0.00582589674255118,0.771043028630608
ENST00000422774,KIAA1549,Intermediate Progenitors (IP),SCZ,3M,0.00746571608545912,-0.60022178857051
ENST00000311445,CNIH2,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,0.00840999128535456,-0.97818592061903
ENST00000418115,RHOA,Cortical Hem Cells,SCZ,3M,0.00950032226184691,1.42300904130002
ENST00000553286,KLC1,Outer Radial Glia (oRG),SCZ,3M,0.0103146248824073,-1.9876841167234
ENST00000312234,EIF1AD,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,0.0107754573828789,1.11898765926273
ENST00000553286,KLC1,Intermediate Progenitors (IP),SCZ,3M,0.0129153300464398,-0.885518440343098
ENST00000216554,EIF5,Cortical Hem Cells,SCZ,3M,0.0139697978795528,0.985876015070235
ENST00000422774,KIAA1549,Outer Radial Glia (oRG),SCZ,3M,0.0176471348775271,-1.06917239238968
ENST00000662685,TOX-DT,Callosal Projection Neurons (Upper Layer),SCZ,3M,0.0239830277360994,-1.78086197781528
ENST00000367701,ZBTB37,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.0265237601208331,0.439633323429216
ENST00000553286,KLC1,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.0388229760568269,0.510541651393729
ENST00000359574,LFNG,Cortical Hem Cells,SCZ,3M,0.042713155496684,5.49971291271881
ENST00000555235,MARK3,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.0463658931244091,1.17485408700628
ENST00000418115,RHOA,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.0489069317769551,-0.649353253228508
