transcript_id,gene_symbol,cell_type_of_origin,trait,timepoint,p_val_adj,avg_log2FC,canonical_status,tx_biotype
ENST00000345358,BAX,Cortical Hem Cells,SCZ,1M,3.64967558454582e-05,0.641324601721338,canonical,protein_coding
ENST00000406925,HYPK,Deep Layer Projection Neurons,SCZ,1M,4.27560476874942e-05,0.637281466096391,non-canonical,protein_coding
ENST00000418115,RHOA,Cortical Hem Cells,SCZ,1M,5.55682094146068e-05,0.632260620906782,canonical,protein_coding
ENST00000660624,AP3B2,Cajal-Retzius Cells,SCZ,1M,5.82438619110091e-05,1.79730363430518,non-canonical,protein_coding
ENST00000408041,SLC5A6,Cortical Hem Cells,SCZ,1M,5.99899777840641e-05,4.32060336224995,non-canonical,protein_coding
ENST00000546591,RPL41,Cajal-Retzius Cells,SCZ,1M,6.25348085876986e-05,0.803765162653162,canonical,protein_coding
ENST00000379066,PRKD3,Apical Radial Glia (aRG) - Cycling,SCZ,1M,6.85130569522143e-05,0.653870279229658,non-canonical,protein_coding
ENST00000549578,VPS29,Apical Radial Glia (aRG) - Cycling,SCZ,1M,7.21384023153841e-05,-1.30083114563354,canonical,protein_coding
ENST00000404621,NCOR2,Deep Layer Projection Neurons,SCZ,1M,7.31457694090347e-05,1.04604801421336,non-canonical,protein_coding
ENST00000338128,ISYNA1,Preplate Neurons,SCZ,1M,8.3190358561854e-05,-0.754392893089869,canonical,protein_coding
ENST00000330062,IDH2,Preplate Neurons,SCZ,1M,0.000105306870571214,-0.675486507569328,canonical,protein_coding
ENST00000418115,RHOA,Subcortical Progenitors,SCZ,1M,0.000326988775794171,0.74457427638571,canonical,protein_coding
ENST00000274712,ZMAT2,Radial Glia (Mixed),SCZ,1M,0.000418528771747452,-0.739953368903156,canonical,protein_coding
ENST00000546591,RPL41,Deep Layer Projection Neurons,SCZ,1M,0.000454904413468766,0.516512114023525,canonical,protein_coding
ENST00000291232,TNFRSF13C,Preplate Neurons,SCZ,1M,0.000549623613753742,-3.12798154312219,canonical,protein_coding
ENST00000598810,TEAD2,Preplate Neurons,SCZ,1M,0.000856035504114559,-0.691669335966438,non-canonical,protein_coding
ENST00000360579,VPS29,Cajal-Retzius Cells,SCZ,1M,0.000877936196131422,-1.5631709695755,non-canonical,protein_coding
ENST00000660624,AP3B2,Apical Radial Glia (aRG),SCZ,1M,0.00108992943692034,-1.97713633973958,non-canonical,protein_coding
ENST00000330062,IDH2,Cajal-Retzius Cells,SCZ,1M,0.00138764062353817,-0.885294356722736,canonical,protein_coding
ENST00000521699,LY6E,Deep Layer Projection Neurons,SCZ,1M,0.00168096802564745,2.11976610604803,non-canonical,protein_coding
