transcript_id,gene_symbol,cell_type_of_origin,trait,timepoint,p_val_adj,avg_log2FC,canonical_status,tx_biotype
ENST00000561030,LINGO1,Corticofugal Projection Neurons (Deep Layer),SCZ,3M,1.9257607622094e-07,0.869085722991471,non-canonical,protein_coding
ENST00000443023,SATB2,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,2.81475100342087e-07,-1.43602811945353,non-canonical,protein_coding
ENST00000521699,LY6E,Callosal Projection Neurons (Upper Layer),SCZ,3M,4.63041897875272e-07,1.30237503334077,non-canonical,protein_coding
ENST00000392547,WIPF1,Apical Radial Glia (aRG) - Cycling,SCZ,3M,9.67720255177524e-07,2.6855989219073,non-canonical,protein_coding
ENST00000392547,WIPF1,Outer Radial Glia (oRG),SCZ,3M,1.21836137831456e-06,3.08379111975917,non-canonical,protein_coding
ENST00000216554,EIF5,Intermediate Progenitors (IP),SCZ,3M,1.96189445195268e-06,-0.46653521315585,canonical,protein_coding
ENST00000395353,MVP,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,2.94891884279931e-06,1.27181448158694,non-canonical,protein_coding
ENST00000418115,RHOA,Outer Radial Glia (oRG),SCZ,3M,3.0458878036685e-06,1.10946504271317,canonical,protein_coding
ENST00000418458,GNL3,Intermediate Progenitors (IP),SCZ,3M,3.34359087160476e-06,-0.656242642211612,canonical,protein_coding
ENST00000546591,RPL41,Intermediate Progenitors (IP),SCZ,3M,3.72736147463943e-06,-0.710278268485877,canonical,protein_coding
ENST00000345358,BAX,Outer Radial Glia (oRG),SCZ,3M,3.91242078528112e-06,0.796113963718628,canonical,protein_coding
ENST00000443023,SATB2,Outer Radial Glia (oRG),SCZ,3M,4.27585138392397e-06,-2.72649143831977,non-canonical,protein_coding
ENST00000561030,LINGO1,Outer Radial Glia (oRG),SCZ,3M,5.54593529876623e-06,-2.89157325875022,non-canonical,protein_coding
ENST00000376630,HLA-E,Callosal Projection Neurons (Upper Layer),SCZ,3M,5.9015178034975e-06,-2.78497925580664,canonical,protein_coding
ENST00000370007,NOLC1,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,6.50724787764945e-06,0.932221847424921,non-canonical,protein_coding
ENST00000422987,LRRN3,Corticofugal Projection Neurons (Deep Layer),SCZ,3M,7.34938006250278e-06,1.00647311437241,non-canonical,protein_coding
ENST00000418458,GNL3,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,1.13971545040511e-05,0.752087406764,canonical,protein_coding
ENST00000492537,CBY1,Cortical Hem Cells,SCZ,3M,2.3495500248946e-05,6.58377918766493,non-canonical,retained_intron
ENST00000519113,CTNNA1,Outer Radial Glia (oRG),SCZ,3M,2.45688401120794e-05,4.65077357598975,non-canonical,protein_coding
ENST00000607056,,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,2.73846581338311e-05,0.633829705941952,canonical,lncRNA
ENST00000311445,CNIH2,Outer Radial Glia (oRG),SCZ,3M,3.03297373250224e-05,-1.72490488967766,canonical,protein_coding
ENST00000564636,FANCI,Apical Radial Glia (aRG) - Cycling,SCZ,3M,4.59625185958228e-05,4.70558183781183,non-canonical,retained_intron
ENST00000267890,TTBK2,Intermediate Progenitors (IP),SCZ,3M,5.16887840750907e-05,-0.619790587748196,canonical,protein_coding
ENST00000345358,BAX,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,7.45611244737427e-05,-0.53602258649413,canonical,protein_coding
ENST00000370007,NOLC1,Intermediate Progenitors (IP),SCZ,3M,0.000108184789746519,-0.626535151675328,non-canonical,protein_coding
ENST00000429095,LINC01122,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.000109433371627877,1.02652137455889,non-canonical,lncRNA
ENST00000376630,HLA-E,Apical Radial Glia (aRG) - Cycling,SCZ,3M,0.000141821413030478,1.94518944815082,canonical,protein_coding
ENST00000595077,REX1BD,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.000180354589524918,0.999212642689987,non-canonical,retained_intron
ENST00000424528,MIR137HG,Intermediate Progenitors (IP),SCZ,3M,0.000247858442013133,-3.23301896056451,non-canonical,lncRNA
ENST00000422987,LRRN3,Intermediate Progenitors (IP),SCZ,3M,0.000255308589295132,-1.50382772995835,non-canonical,protein_coding
ENST00000264157,CCNT2,Intermediate Progenitors (IP),SCZ,3M,0.000361608475876184,-0.714433220016224,canonical,protein_coding
ENST00000357402,MVP,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,0.000374602906889764,1.55072855362705,canonical,protein_coding
ENST00000376809,HLA-A,Intermediate Progenitors (IP),SCZ,3M,0.000709581205463076,1.73542195688725,canonical,protein_coding
ENST00000376630,HLA-E,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.000935243058034291,-2.56789089436416,canonical,protein_coding
ENST00000424528,MIR137HG,Callosal Projection Neurons (Upper Layer),SCZ,3M,0.00125730677136624,0.690511403542885,non-canonical,lncRNA
ENST00000274712,ZMAT2,Callosal Projection Neurons (Upper Layer),SCZ,3M,0.00132727407427535,0.322437767074761,canonical,protein_coding
ENST00000667061,,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,0.00134430403113531,1.32356876278114,canonical,lncRNA
ENST00000323588,PPM1M,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.00166594011062373,1.25406517545897,canonical,protein_coding
ENST00000313486,PITPNA,Intermediate Progenitors (IP),SCZ,3M,0.00197205699637492,-0.576674780071629,canonical,protein_coding
ENST00000265192,PAIP2,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.00198275001911122,-0.561167144434565,canonical,protein_coding
ENST00000265192,PAIP2,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,0.00214102463215049,0.469086561423432,canonical,protein_coding
ENST00000360579,VPS29,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.00242806247079843,-1.57719912651627,non-canonical,protein_coding
ENST00000636627,CACNA1D,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.0025771414596939,1.52219415317387,non-canonical,protein_coding
ENST00000594793,BCL2L12,Apical Radial Glia (aRG) - Cycling,SCZ,3M,0.00337688947621227,5.09512630155044,non-canonical,protein_coding_CDS_not_defined
ENST00000574426,CLUH,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,0.00350267212335001,0.745939033053144,non-canonical,protein_coding
ENST00000470019,PTK7,Callosal Projection Neurons (Upper Layer),SCZ,3M,0.00371892332033811,-0.707431107253983,non-canonical,nonsense_mediated_decay
ENST00000290650,UBR1,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,0.00382490711130178,0.674681838158685,canonical,protein_coding
ENST00000398970,CRK,Intermediate Progenitors (IP),SCZ,3M,0.00480196943913902,-0.54779510451602,non-canonical,protein_coding
ENST00000267890,TTBK2,Outer Radial Glia (oRG),SCZ,3M,0.00504824358991979,-1.04583229458852,canonical,protein_coding
ENST00000663717,MIR9-3HG,Intermediate Progenitors (IP),SCZ,3M,0.00529202016610036,1.13366603980816,non-canonical,lncRNA
ENST00000345358,BAX,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,0.00567227270323405,0.544704914328324,canonical,protein_coding
ENST00000607056,,Intermediate Progenitors (IP),SCZ,3M,0.00570549781513939,-0.930152211448306,canonical,lncRNA
ENST00000330062,IDH2,Outer Radial Glia (oRG),SCZ,3M,0.00582589674255118,0.771043028630608,canonical,protein_coding
ENST00000422774,KIAA1549,Intermediate Progenitors (IP),SCZ,3M,0.00746571608545912,-0.60022178857051,canonical,protein_coding
ENST00000311445,CNIH2,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,0.00840999128535456,-0.97818592061903,canonical,protein_coding
ENST00000418115,RHOA,Cortical Hem Cells,SCZ,3M,0.00950032226184691,1.42300904130002,canonical,protein_coding
ENST00000553286,KLC1,Outer Radial Glia (oRG),SCZ,3M,0.0103146248824073,-1.9876841167234,non-canonical,protein_coding
ENST00000312234,EIF1AD,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,0.0107754573828789,1.11898765926273,non-canonical,protein_coding
ENST00000553286,KLC1,Intermediate Progenitors (IP),SCZ,3M,0.0129153300464398,-0.885518440343098,non-canonical,protein_coding
ENST00000216554,EIF5,Cortical Hem Cells,SCZ,3M,0.0139697978795528,0.985876015070235,canonical,protein_coding
ENST00000422774,KIAA1549,Outer Radial Glia (oRG),SCZ,3M,0.0176471348775271,-1.06917239238968,canonical,protein_coding
ENST00000662685,TOX-DT,Callosal Projection Neurons (Upper Layer),SCZ,3M,0.0239830277360994,-1.78086197781528,non-canonical,lncRNA
ENST00000367701,ZBTB37,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.0265237601208331,0.439633323429216,canonical,protein_coding
ENST00000553286,KLC1,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.0388229760568269,0.510541651393729,non-canonical,protein_coding
ENST00000359574,LFNG,Cortical Hem Cells,SCZ,3M,0.042713155496684,5.49971291271881,non-canonical,protein_coding
ENST00000555235,MARK3,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.0463658931244091,1.17485408700628,non-canonical,retained_intron
ENST00000418115,RHOA,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,0.0489069317769551,-0.649353253228508,canonical,protein_coding
