transcript_id,gene_symbol,cell_type_of_origin,trait,timepoint,p_val_adj,avg_log2FC,canonical_status,tx_biotype
ENST00000376630,HLA-E,Outer Radial Glia (oRG),SCZ,3M,8.39238172867036e-73,3.46108577278564,canonical,protein_coding
ENST00000443023,SATB2,Callosal Projection Neurons (Upper Layer),SCZ,3M,1.89840599488646e-57,2.13498139127385,non-canonical,protein_coding
ENST00000376630,HLA-E,Cortical Hem Cells,SCZ,3M,2.23877881969774e-53,3.74094595739265,canonical,protein_coding
ENST00000426395,FCGRT,Cortical Hem Cells,SCZ,3M,1.00094627997186e-45,6.56429111115383,non-canonical,protein_coding
ENST00000377918,PCDH17,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,6.3504038631467e-40,0.972712607310178,canonical,protein_coding
ENST00000377918,PCDH17,Corticofugal Projection Neurons (Deep Layer),SCZ,3M,2.18110000397909e-39,1.86451996065656,canonical,protein_coding
ENST00000216554,EIF5,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,3.0129117394564e-36,0.922684055326203,canonical,protein_coding
ENST00000330062,IDH2,Apical Radial Glia (aRG) - Cycling,SCZ,3M,9.11813526988748e-24,1.84636846264031,canonical,protein_coding
ENST00000406925,HYPK,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,5.34379866451958e-23,1.28382567647474,non-canonical,protein_coding
ENST00000464585,GRM2,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,4.2666466516979e-22,1.49148869497175,non-canonical,retained_intron
ENST00000377918,PCDH17,Intermediate Progenitors (IP),SCZ,3M,6.34146473465012e-20,-3.37554615134052,canonical,protein_coding
ENST00000291232,TNFRSF13C,Apical Radial Glia (aRG) - Cycling,SCZ,3M,7.12832445284866e-20,2.71991058786829,canonical,protein_coding
ENST00000377918,PCDH17,Callosal Projection Neurons (Upper Layer),SCZ,3M,8.95697978011708e-19,-1.23352629295834,canonical,protein_coding
ENST00000443023,SATB2,Intermediate Progenitors (IP),SCZ,3M,5.22530551187716e-18,-2.78007334536332,non-canonical,protein_coding
ENST00000418115,RHOA,Apical Radial Glia (aRG) - Cycling,SCZ,3M,2.1781030764953e-16,1.67623566966812,canonical,protein_coding
ENST00000360579,VPS29,Apical Radial Glia (aRG) - Cycling,SCZ,3M,1.43353846345842e-15,1.99143962439412,non-canonical,protein_coding
ENST00000549578,VPS29,Intermediate Progenitors (IP),SCZ,3M,1.49020115653101e-15,-1.07038369533277,canonical,protein_coding
ENST00000561030,LINGO1,Intermediate Progenitors (IP),SCZ,3M,2.81891463371583e-15,-2.6500326728043,non-canonical,protein_coding
ENST00000670012,,Cortical Hem Cells,SCZ,3M,4.05323479726092e-15,4.93454651569735,canonical,lncRNA
ENST00000459996,GPR155,Cortical Hem Cells,SCZ,3M,5.2512275582946e-15,6.74028186044023,non-canonical,protein_coding_CDS_not_defined
ENST00000539846,TEAD2,Cortical Hem Cells,SCZ,3M,5.2512275582946e-15,6.55852521729872,non-canonical,protein_coding
ENST00000463826,CCDC150,Apical Radial Glia (aRG) - Cycling,SCZ,3M,1.32749629713381e-14,3.92099782249566,non-canonical,retained_intron
ENST00000216554,EIF5,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,7.89465763069462e-14,-0.559642656321997,canonical,protein_coding
ENST00000598810,TEAD2,Outer Radial Glia (oRG),SCZ,3M,1.04462925299362e-13,2.49595922184303,non-canonical,protein_coding
ENST00000367701,ZBTB37,Intermediate Progenitors (IP),SCZ,3M,5.15923462348342e-12,-0.94691334441401,canonical,protein_coding
ENST00000360579,VPS29,Outer Radial Glia (oRG),SCZ,3M,9.37006240805976e-12,1.81581950624175,non-canonical,protein_coding
ENST00000267890,TTBK2,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,2.30168444137921e-11,0.557277136018303,canonical,protein_coding
ENST00000549578,VPS29,Outer Radial Glia (oRG),SCZ,3M,3.5372161790212e-11,-1.52231681413226,canonical,protein_coding
ENST00000382044,TP53BP1,Intermediate Progenitors (IP),SCZ,3M,3.79801550976555e-11,-1.02159842791586,canonical,protein_coding
ENST00000372569,CRIP3,Apical Radial Glia (aRG) - Cycling,SCZ,3M,2.57122071810419e-10,3.30070682252,canonical,protein_coding
ENST00000662685,TOX-DT,Corticothalamic Projection Neurons (Deep Layer),SCZ,3M,5.96415305149003e-10,1.96419317655973,non-canonical,lncRNA
ENST00000342392,DIABLO,Glutamatergic Neurons (Unspecified Layer),SCZ,3M,1.3318482679242e-09,1.45404131689779,non-canonical,nonsense_mediated_decay
ENST00000377918,PCDH17,Outer Radial Glia (oRG),SCZ,3M,6.17831809780095e-09,-4.23730162190283,canonical,protein_coding
ENST00000598810,TEAD2,Intermediate Progenitors (IP),SCZ,3M,1.34414956880644e-08,2.23392589309844,non-canonical,protein_coding
ENST00000549578,VPS29,Callosal Projection Neurons (Upper Layer),SCZ,3M,7.96945011368625e-08,0.441926143950851,canonical,protein_coding
ENST00000470019,PTK7,Intermediate Progenitors (IP),SCZ,3M,8.87210066282069e-08,1.67346833261223,non-canonical,nonsense_mediated_decay
