transcript_id,gene_symbol,cell_type_of_origin,trait,timepoint,p_val_adj,avg_log2FC,canonical_status,tx_biotype
ENST00000320033,ARL4D,Newborn Deep Layer Projection Neurons,BP,1M,2.55150012590315e-81,2.91832068921261,canonical,protein_coding
ENST00000320033,ARL4D,Deep Layer Projection Neurons,BP,1M,1.13116904698626e-41,1.80325419716945,canonical,protein_coding
ENST00000473961,BRCA1,Apical Radial Glia (aRG) - Cycling,BP,1M,7.33587307441787e-33,1.68709280498741,non-canonical,protein_coding
ENST00000427946,NCAPH,Apical Radial Glia (aRG) - Cycling,BP,1M,1.6429397558372e-12,2.42489672166485,non-canonical,protein_coding
ENST00000360476,NMB,Newborn Deep Layer Projection Neurons,BP,1M,1.95425761711262e-12,2.27964206068845,canonical,protein_coding
ENST00000360476,NMB,Deep Layer Projection Neurons,BP,1M,2.67255235045518e-08,0.747230888842492,canonical,protein_coding
ENST00000529582,LTBP3,Cortical Hem Cells,BP,1M,1.10561096143676e-06,1.38225339647329,non-canonical,retained_intron
ENST00000320033,ARL4D,Apical Radial Glia (aRG),BP,1M,4.79011861052354e-05,-1.91845126548692,canonical,protein_coding
ENST00000320033,ARL4D,Preplate Neurons,BP,1M,9.86343528052447e-05,-1.3536042098195,canonical,protein_coding
ENST00000320033,ARL4D,Radial Glia (Mixed),BP,1M,0.000130074313271902,-1.84859768342988,canonical,protein_coding
ENST00000529582,LTBP3,Preplate Neurons,BP,1M,0.000275496249690865,-2.04153323211228,non-canonical,retained_intron
ENST00000357137,XPNPEP3,Apical Radial Glia (aRG) - Cycling,BP,1M,0.000451466119580929,0.878757338831085,canonical,protein_coding
ENST00000249647,SNAP23,Cortical Hem Cells,BP,1M,0.000716629251930979,0.801024039530712,canonical,protein_coding
ENST00000534749,PITPNM1,Cortical Hem Cells,BP,1M,0.00224490015990977,1.37056278692352,non-canonical,protein_coding
ENST00000323853,SNRNP200,Apical Radial Glia (aRG) - Cycling,BP,1M,0.00537275775680413,0.492375285248532,canonical,protein_coding
ENST00000544603,DPP3,Subcortical Progenitors,BP,1M,0.0154028835643015,5.39190195613631,non-canonical,protein_coding_CDS_not_defined
ENST00000473961,BRCA1,Preplate Neurons,BP,1M,0.0192582429109071,-2.46897793209387,non-canonical,protein_coding
