"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.07835138268375e-40,7.53233547908234,0.063,0.001,4.35297870448303e-35,"Outer Radial Glia (oRG)","ENSG00000267337.3-LINC01478"
9.94025902756806e-50,7.27054785909768,0.075,0.001,4.76625480112861e-45,"Outer Radial Glia (oRG)","ENSG00000285550.2-ENSG00000285550"
2.15625955891115e-152,7.23773838440712,0.213,0.002,1.03390489590231e-147,"Outer Radial Glia (oRG)","ENSG00000294342.1-ENSG00000294342"
2.93280319983768e-26,7.14005389676792,0.029,0,1.40624980629017e-21,"Outer Radial Glia (oRG)","ENSG00000157399.17-ARSL"
2.92597080164555e-151,7.06663512231495,0.222,0.003,1.40297373968103e-146,"Outer Radial Glia (oRG)","ENSG00000260785.2-CASC17"
2.79680750008006e-157,6.89963494482248,0.247,0.005,1.34104122821339e-152,"Outer Radial Glia (oRG)","ENSG00000300827.1-ENSG00000300827"
7.716381494015e-66,6.66472426175466,0.092,0.001,3.69992776256525e-61,"Outer Radial Glia (oRG)","ENSG00000300845.1-ENSG00000300845"
1.37267473790846e-233,6.43292477711509,0.519,0.027,6.58183810079728e-229,"Outer Radial Glia (oRG)","ENSG00000254987.2-PDGFDDN"
4.16895912271617e-31,6.41860120752734,0.046,0.001,1.99897420975117e-26,"Outer Radial Glia (oRG)","ENSG00000253245.2-MTND1P36"
2.54784636278857e-31,6.41605657000153,0.054,0.002,1.22166685249349e-26,"Outer Radial Glia (oRG)","ENSG00000227475.2-ENSG00000227475"
3.1208059321529e-16,6.13017055365107,0.021,0,1.496395236408e-11,"Intermediate Progenitors (IP)","ENSG00000248425.1-ENSG00000248425"
5.4422320679268e-145,5.83737046641973,0.291,0.019,2.60949585425022e-140,"Intermediate Progenitors (IP)","ENSG00000287360.2-ENSG00000287360"
3.37685011991888e-11,5.80261322564226,0.021,0.001,1.6191658639999e-06,"Intermediate Progenitors (IP)","ENSG00000284837.1-ENSG00000284837"
6.13872659867022e-13,5.75147950490765,0.017,0,2.94345801679638e-08,"Intermediate Progenitors (IP)","ENSG00000293061.2-THAP3P1"
1.38503484952671e-62,5.71714931209204,0.096,0.003,6.64110359999561e-58,"Intermediate Progenitors (IP)","ENSG00000251412.1-ENSG00000251412"
1.18504598781787e-18,5.690041128615,0.031,0.001,5.6821770069879e-14,"Intermediate Progenitors (IP)","ENSG00000286639.3-ENSG00000286639"
3.65871800812361e-182,5.58915070392361,0.358,0.024,1.75431869771519e-177,"Intermediate Progenitors (IP)","ENSG00000106341.11-PPP1R17"
2.63307736633838e-18,5.45850499351583,0.029,0.001,1.26253426638559e-13,"Intermediate Progenitors (IP)","ENSG00000306700.1-ENSG00000306700"
2.67071571141333e-11,5.41873009754999,0.015,0,1.28058147646558e-06,"Intermediate Progenitors (IP)","ENSG00000294929.1-ENSG00000294929"
2.93306347925929e-16,5.30200457379485,0.023,0.001,1.40637460767004e-11,"Intermediate Progenitors (IP)","ENSG00000164853.9-UNCX"
3.15475366270886e-13,4.98851194971384,0.02,0,1.51267283373227e-08,"Callosal Projection Neurons (Upper Layer)","ENSG00000307321.1-ENSG00000307321.1"
2.75557852846435e-35,4.56823741069339,0.068,0.004,1.32127234861337e-30,"Callosal Projection Neurons (Upper Layer)","ENSG00000302815.1-ENSG00000302815"
1.39435953591146e-07,4.4796101731525,0.013,0.001,0.00668581453874184,"Callosal Projection Neurons (Upper Layer)","ENSG00000141668.10-CBLN2"
7.60892813981973e-34,4.40827608359048,0.084,0.011,3.64840495376216e-29,"Callosal Projection Neurons (Upper Layer)","ENSG00000197085.12-NPSR1-AS1"
2.55659655178651e-09,4.35319179251474,0.014,0,0.000122586248061611,"Callosal Projection Neurons (Upper Layer)","ENSG00000236212.3-ENSG00000236212"
1.727464403594e-24,4.2453616427954,0.049,0.004,8.28301906879285e-20,"Callosal Projection Neurons (Upper Layer)","ENSG00000212442.1-ENSG00000212442.1"
6.03323277810773e-13,4.16847738150204,0.026,0.002,2.89287478477487e-08,"Callosal Projection Neurons (Upper Layer)","ENSG00000280953.3-LINC01163"
