"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.89487250287259e-08,5.09467199992788,0.017,0,0.000866259913413233,"Radial Glia (Mixed)","ENSG00000295832.1-ENSG00000295832.1"
4.52261231972364e-08,4.72296556732481,0.034,0.003,0.00206755744808486,"Radial Glia (Mixed)","ENSG00000235601.2-BARX1-DT"
1.89487250287259e-08,4.42054716248951,0.017,0,0.000866259913413233,"Radial Glia (Mixed)","ENSG00000310022.1-ENSG00000310022.1"
2.20336667680323e-08,4.229434378705,0.021,0.001,0.00100729110996737,"Radial Glia (Mixed)","ENSG00000175520.9-UBQLN3"
3.14906784163993e-11,4.19506350253322,0.038,0.002,1.43962785448411e-06,"Radial Glia (Mixed)","ENSG00000309067.1-ENSG00000309067"
4.32580756422683e-10,4.17507618986291,0.025,0.001,1.97758618606194e-05,"Radial Glia (Mixed)","ENSG00000223592.2-FNDC3CP"
1.48620853370384e-15,4.1292142382166,0.067,0.006,6.79435093268048e-11,"Radial Glia (Mixed)","ENSG00000069399.15-BCL3"
3.02864485606393e-31,4.09256525332617,0.122,0.008,1.38457528239819e-26,"Radial Glia (Mixed)","ENSG00000281832.2-LINC00602"
2.17492020608957e-07,4.02619527714553,0.029,0.003,0.00994286521415906,"Radial Glia (Mixed)","ENSG00000226705.1-SDCBPP1"
3.75142853224151e-09,3.95132583169469,0.029,0.002,0.000171500306779953,"Radial Glia (Mixed)","ENSG00000111321.11-LTBR"
1.4160446112804e-16,6.91440694626236,0.063,0.004,6.47358954492948e-12,"Newborn Deep Layer Projection Neurons","ENSG00000236230.3-ENSG00000236230"
3.97388865566043e-36,6.22911019051199,0.092,0.001,1.81670293782172e-31,"Newborn Deep Layer Projection Neurons","ENSG00000252839.1-ENSG00000252839.1"
6.80430806362999e-84,6.21343775029378,0.252,0.007,3.11065747436909e-79,"Newborn Deep Layer Projection Neurons","ENSG00000295450.1-ENSG00000295450"
2.35778467621966e-12,6.02695948480991,0.038,0.002,1.07788484258058e-07,"Newborn Deep Layer Projection Neurons","ENSG00000303999.1-ENSG00000303999"
4.00397153126428e-29,5.69427262239812,0.076,0.001,1.83045562523278e-24,"Newborn Deep Layer Projection Neurons","ENSG00000300713.1-ENSG00000300713"
1.14262575362706e-33,5.68837866657408,0.105,0.004,5.22362789528147e-29,"Newborn Deep Layer Projection Neurons","ENSG00000236202.2-GRM7-AS1"
1.19185308141741e-25,5.5249978583612,0.067,0.001,5.44867554700782e-21,"Newborn Deep Layer Projection Neurons","ENSG00000152207.8-CYSLTR2"
4.66637368802624e-31,5.48746269601465,0.088,0.002,2.13327939521807e-26,"Newborn Deep Layer Projection Neurons","ENSG00000286539.1-ENSG00000286539"
8.16569084936433e-92,5.46493442376294,0.29,0.011,3.7330272286954e-87,"Newborn Deep Layer Projection Neurons","ENSG00000253164.6-ENSG00000253164"
2.18085493643873e-45,5.39435034704048,0.134,0.004,9.96999642742332e-41,"Newborn Deep Layer Projection Neurons","ENSG00000289828.2-ENSG00000289828"
6.59078047143588e-45,5.72799867363507,0.119,0.002,3.01304120032163e-40,"Apical Radial Glia (aRG) - Cycling","ENSG00000290789.1-ENSG00000290789"
6.14716263450537e-100,5.7196600580308,0.334,0.018,2.81023686999048e-95,"Apical Radial Glia (aRG) - Cycling","ENSG00000140451.13-PIF1"
7.73218999684895e-23,5.38593503830597,0.053,0,3.53484797895946e-18,"Apical Radial Glia (aRG) - Cycling","ENSG00000207874.1-MIR610"
