"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.00492390068287e-42,5.22980007095364,0.116,0.002,1.83089101043618e-37,"Apical Radial Glia (aRG) - Cycling","ENSG00000304009.1-ENSG00000304009.1"
1.99817763611909e-43,5.09949555996877,0.123,0.003,9.13486888128201e-39,"Apical Radial Glia (aRG) - Cycling","ENSG00000306569.1-ENSG00000306569"
4.30861881939802e-153,5.00096617071204,0.48,0.021,1.969728179476e-148,"Apical Radial Glia (aRG) - Cycling","ENSG00000112984.12-KIF20A"
2.22233829307245e-55,4.96312483959112,0.162,0.004,1.015964174061e-50,"Apical Radial Glia (aRG) - Cycling","ENSG00000296113.1-ENSG00000296113"
2.30592360067997e-177,4.92130582088633,0.656,0.056,1.05417603328686e-172,"Apical Radial Glia (aRG) - Cycling","ENSG00000118193.12-KIF14"
1.06248073034229e-88,4.86327152759317,0.272,0.009,4.85723690683283e-84,"Apical Radial Glia (aRG) - Cycling","ENSG00000273703.2-H2BC14"
3.58031273689659e-30,4.79306942088205,0.089,0.003,1.63677577079964e-25,"Apical Radial Glia (aRG) - Cycling","ENSG00000287937.2-ENSG00000287937"
1.17042668787399e-24,6.58258947626864,0.063,0.001,5.35072264628475e-20,"Preplate Neurons","ENSG00000296284.1-ENSG00000296284.1"
1.9467903444137e-24,6.20817763661611,0.066,0.001,8.89994673852166e-20,"Preplate Neurons","ENSG00000254861.3-ENSG00000254861"
2.17828056754637e-74,6.14687245220818,0.238,0.011,9.95822744259499e-70,"Preplate Neurons","ENSG00000253503.7-ENSG00000253503"
7.30814939714684e-28,5.76390904269188,0.071,0.001,3.34099357839965e-23,"Preplate Neurons","ENSG00000229950.2-TFAP2A-AS1"
7.00448830766336e-15,5.63399692478601,0.041,0.001,3.20217187473138e-10,"Preplate Neurons","ENSG00000115263.15-GCG"
4.22178699540644e-85,5.60437858001879,0.307,0.022,1.93003214282001e-80,"Preplate Neurons","ENSG00000163331.12-DAPL1"
1.19366634991139e-09,5.59438490907202,0.027,0.001,5.4569650852549e-05,"Preplate Neurons","ENSG00000301557.1-ENSG00000301557"
7.00448830766336e-15,5.57502437897709,0.041,0.001,3.20217187473138e-10,"Preplate Neurons","ENSG00000235782.2-ENSG00000235782"
7.36556474974267e-133,5.55895637018717,0.405,0.017,3.36724158099236e-128,"Preplate Neurons","ENSG00000215474.8-SKOR2"
1.27649493779306e-31,5.53238379676945,0.104,0.005,5.83562425761476e-27,"Preplate Neurons","ENSG00000255193.2-LINC02726"
5.33204302919536e-16,4.27174554543542,0.047,0.002,2.43759679122695e-11,"Apical Radial Glia (aRG)","ENSG00000200218.1-RNU6-697P"
3.0882091601873e-07,3.9762339629989,0.018,0.001,0.0141180569967122,"Apical Radial Glia (aRG)","ENSG00000235647.1-MTFR2P2"
2.70471312028373e-07,3.77826160577952,0.024,0.002,0.0123648665006891,"Apical Radial Glia (aRG)","ENSG00000287880.1-ENSG00000287880"
2.03013125622438e-24,3.7722920027775,0.144,0.025,9.28094805095538e-20,"Apical Radial Glia (aRG)","ENSG00000176177.10-ENTHD1"
3.56611187322812e-08,3.60044951702832,0.024,0.001,0.00163028370396497,"Apical Radial Glia (aRG)","ENSG00000249332.3-LINC02149"
8.54413339141164e-07,3.59752047063206,0.026,0.003,0.0390603602121774,"Apical Radial Glia (aRG)","ENSG00000119919.12-NKX2-3"
3.74855530496627e-82,3.56714429435188,0.393,0.053,1.71368954321838e-77,"Apical Radial Glia (aRG)","ENSG00000256637.10-LINC01965"
1.59341473290662e-12,3.49231277399362,0.055,0.006,7.28445479295591e-08,"Apical Radial Glia (aRG)","ENSG00000273515.1-ENSG00000273515"
7.50937960209725e-07,3.34025561650423,0.039,0.007,0.0343298797889478,"Apical Radial Glia (aRG)","ENSG00000297419.1-ENSG00000297419"
8.04519266247515e-11,3.2940800731031,0.05,0.006,3.67794027757714e-06,"Apical Radial Glia (aRG)","ENSG00000144962.7-SPATA16"
3.24929355000717e-40,7.83873911441363,0.176,0.011,1.48544703932128e-35,"Cortical Hem Cells","ENSG00000183395.5-PMCH"
7.17795284842604e-37,7.70631947221881,0.082,0,3.28147292418645e-32,"Cortical Hem Cells","ENSG00000293985.1-ENSG00000293985"
1.36227461966609e-39,7.59665084013135,0.088,0,6.2277746512655e-35,"Cortical Hem Cells","ENSG00000301012.1-ENSG00000301012"
3.70844591310691e-259,7.50746712133986,0.767,0.021,1.69535313363596e-254,"Cortical Hem Cells","ENSG00000163694.15-RBM47"
1.8000597150312e-166,7.49994640132948,0.497,0.012,8.22915299323662e-162,"Cortical Hem Cells","ENSG00000156510.13-HKDC1"
2.651311565077e-72,7.46368419941232,0.182,0.002,1.2120735950906e-67,"Cortical Hem Cells","ENSG00000109610.6-SOD3"
1.20654322265097e-80,7.4073994469953,0.182,0,5.51583299667116e-76,"Cortical Hem Cells","ENSG00000242197.2-ENSG00000242197"
2.57665453691397e-42,7.27865067346029,0.094,0,1.17794338809559e-37,"Cortical Hem Cells","ENSG00000010932.17-FMO1"
6.95914897205048e-139,7.23008928365022,0.396,0.008,3.1814445440626e-134,"Cortical Hem Cells","ENSG00000231748.1-ENSG00000231748"
3.54872347879716e-26,7.11669561751766,0.069,0.001,1.62233442556691e-21,"Cortical Hem Cells","ENSG00000259023.4-LINC00524"
1.89811691725055e-101,8.96326283832716,0.23,0,8.67743129890263e-97,"Deep Layer Projection Neurons","ENSG00000310368.1-ENSG00000310368"
1.35159940993534e-74,6.8970790665984,0.176,0.001,6.1789718624604e-70,"Deep Layer Projection Neurons","ENSG00000241328.1-LINC02070"
1.73135022605016e-35,6.78299695553471,0.079,0,7.91504069341091e-31,"Deep Layer Projection Neurons","ENSG00000310462.1-ENSG00000310462.1"
6.7556451998464e-38,6.56074260603673,0.091,0.001,3.08841075956178e-33,"Deep Layer Projection Neurons","ENSG00000306888.1-ENSG00000306888"
3.68892741224831e-60,6.46873685381136,0.17,0.003,1.68643005578344e-55,"Deep Layer Projection Neurons","ENSG00000295757.1-ENSG00000295757"
4.19798098257148e-38,6.2183746621585,0.085,0,1.91914898599238e-33,"Deep Layer Projection Neurons","ENSG00000287120.2-ENSG00000287120"
1.60046368898771e-40,6.14431442464517,0.097,0.001,7.31667980057622e-36,"Deep Layer Projection Neurons","ENSG00000302891.1-ENSG00000302891"
7.12082786351038e-33,6.04856270953402,0.073,0,3.25535766608241e-28,"Deep Layer Projection Neurons","ENSG00000302630.1-ENSG00000302630"
7.12082786351038e-33,6.00460103641057,0.073,0,3.25535766608241e-28,"Deep Layer Projection Neurons","ENSG00000302618.1-ENSG00000302618"
5.93187071465179e-12,5.87025353306647,0.024,0,2.71181401591021e-07,"Deep Layer Projection Neurons","ENSG00000297765.1-ENSG00000297765"
8.9611501337707e-21,8.25520685179648,0.045,0,4.09667939515461e-16,"Cajal-Retzius Cells","ENSG00000008197.5-TFAP2D"
6.69160527625571e-16,7.15420690086304,0.039,0.001,3.05913426809306e-11,"Cajal-Retzius Cells","ENSG00000293650.1-ENSG00000293650"
6.69160527625571e-16,6.7009776581638,0.039,0.001,3.05913426809306e-11,"Cajal-Retzius Cells","ENSG00000245870.6-LINC00682"
3.24628543526737e-42,6.68637183777158,0.101,0.001,1.48407184958683e-37,"Cajal-Retzius Cells","ENSG00000296181.1-ENSG00000296181.1"
5.90290313639275e-16,6.57920067012679,0.034,0,2.69857119783331e-11,"Cajal-Retzius Cells","ENSG00000120093.12-HOXB3"
5.381963375424e-28,6.54064443918025,0.062,0,2.46041837670884e-23,"Cajal-Retzius Cells","ENSG00000303763.1-ENSG00000303763.1"
3.20408513487361e-103,6.49863501428182,0.292,0.006,1.46477956025882e-98,"Cajal-Retzius Cells","ENSG00000258779.9-LOHAN2"
1.42368335363961e-18,6.49395554768676,0.051,0.001,6.50851081949884e-14,"Cajal-Retzius Cells","ENSG00000250467.2-PHOX2B-AS1"
5.90290313639275e-16,6.41051099759118,0.034,0,2.69857119783331e-11,"Cajal-Retzius Cells","ENSG00000305909.1-ENSG00000305909"
5.5806779219057e-35,6.35610201725991,0.084,0.001,2.55126271877841e-30,"Cajal-Retzius Cells","ENSG00000205856.4-C22orf42"
1.20221914308123e-99,6.88033705318054,0.292,0.004,5.49606503451016e-95,"Subcortical Progenitors","ENSG00000237803.7-PIRAT1"
7.76359062678135e-87,6.7932525469456,0.247,0.003,3.54920309093936e-82,"Subcortical Progenitors","ENSG00000167332.9-OR51E2"
7.55452449366163e-49,6.6255194279563,0.135,0.001,3.45362641752235e-44,"Subcortical Progenitors","ENSG00000302353.1-ENSG00000302353"
3.9952607842325e-22,6.24444086712955,0.056,0,1.82647342011973e-17,"Subcortical Progenitors","ENSG00000301657.1-ENSG00000301657"
7.11834847058966e-30,6.24008484136863,0.09,0.001,3.25422418681477e-25,"Subcortical Progenitors","ENSG00000299519.1-ENSG00000299519.1"
1.48820631618961e-11,5.9751762896885,0.022,0,6.80348399509244e-07,"Subcortical Progenitors","ENSG00000162344.4-FGF19"
1.35662457730123e-16,5.91421002299695,0.034,0,6.20194491759033e-12,"Subcortical Progenitors","ENSG00000287266.1-ENSG00000287266.1"
1.24690258952943e-105,5.79143896706177,0.371,0.009,5.70033987829274e-101,"Subcortical Progenitors","ENSG00000266524.3-GDF10"
6.90752535542499e-08,5.77007284204338,0.022,0,0.00315784429148609,"Subcortical Progenitors","ENSG00000309929.1-ENSG00000309929"
1.43491834177467e-81,5.76619907223063,0.663,0.076,6.55987269125707e-77,"Subcortical Progenitors","ENSG00000235848.4-RMDN2-AS1"
