"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_display"
3.31953199913922e-19,7.27164704497495,0.021,0,7.81205382549428e-14,"Outer Radial Glia (oRG)","ENST00000623893.1-RAB7B","ENST00000623893.1-RAB7B-205"
3.06236396340054e-40,7.23000299187476,0.05,0,7.20684485690829e-35,"Outer Radial Glia (oRG)","ENST00000812824.1-PDGFDDN","ENST00000812824.1-PDGFDDN"
7.40581996488844e-72,7.20180959052485,0.092,0.001,1.74285604725699e-66,"Outer Radial Glia (oRG)","ENST00000812819.1-PDGFDDN","ENST00000812819.1-PDGFDDN"
6.6183936964939e-16,7.10063988400115,0.021,0,1.55754629895809e-10,"Outer Radial Glia (oRG)","ENST00000757359.1-ENSG00000250250","ENST00000757359.1-ENSG00000250250"
1.13971068191232e-15,7.09011886441032,0.017,0,2.68214953038517e-10,"Outer Radial Glia (oRG)","ENST00000525835.5-SOX6","ENST00000525835.5-SOX6-206"
4.01799076188788e-12,7.06774835995378,0.013,0,9.45577873939646e-07,"Outer Radial Glia (oRG)","ENST00000795276.1-LINC00681","ENST00000795276.1-LINC00681"
4.90590838315502e-44,6.88860456521212,0.059,0.001,1.15453685525817e-38,"Outer Radial Glia (oRG)","ENST00000494910.2-IFI44L","ENST00000494910.2-IFI44L-210"
1.71265046909655e-12,6.81370856882919,0.017,0,4.03048310795306e-07,"Outer Radial Glia (oRG)","ENST00000829705.1-LINC01126","ENST00000829705.1-LINC01126"
4.01799076188788e-12,6.73483000742914,0.013,0,9.45577873939646e-07,"Outer Radial Glia (oRG)","ENST00000682770.1-NA","ENST00000682770.1-FGFR1-250"
3.31953199913922e-19,6.63226806063947,0.021,0,7.81205382549428e-14,"Outer Radial Glia (oRG)","ENST00000657332.1-ENSG00000287554","ENST00000657332.1-ENSG00000287554"
3.1208059321529e-16,6.90027127800989,0.021,0,7.34437984849135e-11,"Intermediate Progenitors (IP)","ENST00000770728.1-ENSG00000300310","ENST00000770728.1-ENSG00000300310"
8.42578192134569e-15,6.81765150388761,0.017,0,1.98288981424181e-09,"Intermediate Progenitors (IP)","ENST00000816394.1-ENSG00000306240","ENST00000816394.1-ENSG00000306240"
1.82349999432453e-11,6.71875714195058,0.013,0,4.29135194664357e-06,"Intermediate Progenitors (IP)","ENST00000316333.9-UNCX","ENST00000316333.9-UNCX-201"
1.38193337484995e-14,6.32524299342325,0.019,0,3.25218672703689e-09,"Intermediate Progenitors (IP)","ENST00000829199.1-ENSG00000307827","ENST00000829199.1-ENSG00000307827"
6.09306014886017e-13,6.09955157879542,0.017,0,1.43391640319216e-07,"Intermediate Progenitors (IP)","ENST00000785160.1-LINC02084","ENST00000785160.1-LINC02084"
6.98487115061628e-18,6.01067439187857,0.025,0.001,1.64379163710143e-12,"Intermediate Progenitors (IP)","ENST00000368184.8-FCRL3","ENST00000368184.8-FCRL3-201"
7.16483784547308e-10,5.95536891649558,0.015,0.001,0.000168614427920225,"Intermediate Progenitors (IP)","ENST00000390477.2-NA","ENST00000390477.2-TRDC-201"
8.61151973862539e-10,5.92322845797782,0.01,0,0.000202660060920914,"Intermediate Progenitors (IP)","ENST00000666920.1-LINC02609","ENST00000666920.1-LINC02609-218"
1.48677055879081e-50,5.91204827892465,0.071,0.001,3.49890636223593e-45,"Intermediate Progenitors (IP)","ENST00000723358.1-ENSG00000287360","ENST00000723358.1-ENSG00000287360"
1.13836288814256e-179,5.82366456972799,0.314,0.014,2.67897768643916e-174,"Intermediate Progenitors (IP)","ENST00000342032.8-PPP1R17","ENST00000342032.8-PPP1R17-201"
3.29129467931355e-16,4.8150473879959,0.029,0.001,7.74560124650933e-11,"Callosal Projection Neurons (Upper Layer)","ENST00000658270.2-MIR4500HG","ENST00000658270.2-MIR4500HG-210"
