"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_display"
1.04999047080046e-08,5.29573216957067,0.025,0.001,0.00234134225112381,"Radial Glia (Mixed)","ENST00000629908.1-SLC2A1","ENST00000629908.1-SLC2A1-207"
1.89487250287259e-08,4.75284399523307,0.017,0,0.0042253193479805,"Radial Glia (Mixed)","ENST00000523677.6-C1orf210","ENST00000523677.6-C1orf210-202"
1.28788073189638e-07,4.65909617761923,0.025,0.002,0.0287180660763378,"Radial Glia (Mixed)","ENST00000358871.6-TFEB","ENST00000358871.6-TFEB-203"
1.89487250287259e-08,4.60984911517922,0.017,0,0.0042253193479805,"Radial Glia (Mixed)","ENST00000693476.1-PDE10A","ENST00000693476.1-PDE10A-239"
8.1289379709157e-09,4.55329340374191,0.034,0.003,0.00181264749132058,"Radial Glia (Mixed)","ENST00000166534.8-P4HA2","ENST00000166534.8-P4HA2-201"
3.31930390874597e-08,4.47112702466081,0.029,0.002,0.00740161620699538,"Radial Glia (Mixed)","ENST00000486051.5-ENO1","ENST00000486051.5-ENO1-204"
3.06140828389051e-11,4.35820174705477,0.038,0.002,6.82654248999892e-06,"Radial Glia (Mixed)","ENST00000659311.1-LINC02649","ENST00000659311.1-LINC02649-202"
8.45767865413115e-10,4.30339921344671,0.105,0.028,0.000188595239004874,"Radial Glia (Mixed)","ENST00000688584.1-ELOC","ENST00000688584.1-ELOC-214"
1.43144102313243e-15,4.25544411548377,0.067,0.006,3.19192739425232e-10,"Radial Glia (Mixed)","ENST00000164227.10-BCL3","ENST00000164227.10-BCL3-201"
1.32346318832121e-07,4.23879320830313,0.025,0.002,0.0295115085974181,"Radial Glia (Mixed)","ENST00000690845.1-PDE10A","ENST00000690845.1-PDE10A-235"
1.74307540825183e-22,7.00392201442056,0.05,0,3.8868315605985e-17,"Newborn Deep Layer Projection Neurons","ENST00000441585.1-ENSG00000223691","ENST00000441585.1-ENSG00000223691"
1.72858090524237e-29,6.56766243065734,0.067,0,3.8545107031728e-24,"Newborn Deep Layer Projection Neurons","ENST00000782763.1-ENSG00000231204","ENST00000782763.1-ENSG00000231204"
4.11187800129657e-31,6.35413416291323,0.088,0.002,9.16895339875119e-26,"Newborn Deep Layer Projection Neurons","ENST00000671503.1-LINC01088","ENST00000671503.1-LINC01088-217"
6.18898833639758e-24,6.26274298441714,0.063,0.001,1.38006394216829e-18,"Newborn Deep Layer Projection Neurons","ENST00000512130.5-LINC01088","ENST00000512130.5-LINC01088-209"
