ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002486,antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent,2/45,16/18986,0.125,52.7388888888889,10.0914489908107,0.000645391334021889,0.0770225852230145,0.0669275953536134,HLA-E/HLA-A,2
GO:0002476,antigen processing and presentation of endogenous peptide antigen via MHC class Ib,2/45,17/18986,0.117647058823529,49.6366013071895,9.77857491121923,0.000730341322037328,0.0770225852230145,0.0669275953536134,HLA-E/HLA-A,2
GO:0002484,antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway,2/45,17/18986,0.117647058823529,49.6366013071895,9.77857491121923,0.000730341322037328,0.0770225852230145,0.0669275953536134,HLA-E/HLA-A,2
GO:0045198,establishment of epithelial cell apical/basal polarity,2/45,17/18986,0.117647058823529,49.6366013071895,9.77857491121923,0.000730341322037328,0.0770225852230145,0.0669275953536134,RHOA/PTK7,2
GO:0046635,positive regulation of alpha-beta T cell activation,3/45,75/18986,0.04,16.8764444444444,6.71485653075659,0.000745701847871778,0.0770225852230145,0.0669275953536134,HLA-E/RHOA/HLA-A,3
GO:0002428,antigen processing and presentation of peptide antigen via MHC class Ib,2/45,18/18986,0.111111111111111,46.879012345679,9.49182336518541,0.000820396079286204,0.0770225852230145,0.0669275953536134,HLA-E/HLA-A,2
GO:1903427,negative regulation of reactive oxygen species biosynthetic process,2/45,19/18986,0.105263157894737,44.4116959064327,9.22771847094411,0.000915532014287661,0.0770225852230145,0.0669275953536134,RHOA/COA8,2
GO:0045953,negative regulation of natural killer cell mediated cytotoxicity,2/45,20/18986,0.1,42.1911111111111,8.98339999086485,0.00101572561441591,0.0770225852230145,0.0669275953536134,HLA-E/HLA-A,2
GO:2001185,regulation of CD8-positive, alpha-beta T cell activation,2/45,20/18986,0.1,42.1911111111111,8.98339999086485,0.00101572561441591,0.0770225852230145,0.0669275953536134,HLA-E/HLA-A,2
GO:0002716,negative regulation of natural killer cell mediated immunity,2/45,21/18986,0.0952380952380952,40.1820105820106,8.75648981793403,0.00112095344567222,0.0770225852230145,0.0669275953536134,HLA-E/HLA-A,2
GO:0035089,establishment of apical/basal cell polarity,2/45,22/18986,0.0909090909090909,38.3555555555556,8.54499223369772,0.00123119215245753,0.0770225852230145,0.0669275953536134,RHOA/PTK7,2
GO:0019885,antigen processing and presentation of endogenous peptide antigen via MHC class I,2/45,23/18986,0.0869565217391304,36.687922705314,8.3472182843652,0.00134641845734566,0.0770225852230145,0.0669275953536134,HLA-E/HLA-A,2
GO:0046641,positive regulation of alpha-beta T cell proliferation,2/45,24/18986,0.0833333333333333,35.1592592592593,8.16172767189191,0.00146660916085709,0.0770225852230145,0.0669275953536134,HLA-E/HLA-A,2
GO:0061162,establishment of monopolar cell polarity,2/45,24/18986,0.0833333333333333,35.1592592592593,8.16172767189191,0.00146660916085709,0.0770225852230145,0.0669275953536134,RHOA/PTK7,2
GO:0002475,antigen processing and presentation via MHC class Ib,2/45,25/18986,0.08,33.7528888888889,7.98728355879015,0.00159174114123337,0.0770225852230145,0.0669275953536134,HLA-E/HLA-A,2
GO:0002483,antigen processing and presentation of endogenous peptide antigen,2/45,25/18986,0.08,33.7528888888889,7.98728355879015,0.00159174114123337,0.0770225852230145,0.0669275953536134,HLA-E/HLA-A,2
GO:0030859,polarized epithelial cell differentiation,2/45,25/18986,0.08,33.7528888888889,7.98728355879015,0.00159174114123337,0.0770225852230145,0.0669275953536134,RHOA/PTK7,2
GO:0061339,establishment or maintenance of monopolar cell polarity,2/45,25/18986,0.08,33.7528888888889,7.98728355879015,0.00159174114123337,0.0770225852230145,0.0669275953536134,RHOA/PTK7,2
GO:0001911,negative regulation of leukocyte mediated cytotoxicity,2/45,26/18986,0.0769230769230769,32.4547008547009,7.8228170261404,0.00172179135421211,0.0789305405009869,0.0685854838603053,HLA-E/HLA-A,2
GO:0036037,CD8-positive, alpha-beta T cell activation,2/45,28/18986,0.0714285714285714,30.1365079365079,7.52021680576487,0.00199655468706196,0.0869499566215483,0.0755538326314499,HLA-E/HLA-A,2
GO:0031342,negative regulation of cell killing,2/45,29/18986,0.0689655172413793,29.0973180076628,7.38055747132628,0.0021412221038719,0.0888097358320201,0.0771698592824007,HLA-E/HLA-A,2
GO:0019883,antigen processing and presentation of endogenous antigen,2/45,32/18986,0.0625,26.3694444444444,7.00076683572478,0.00260409474612063,0.103098478357776,0.0895858431799394,HLA-E/HLA-A,2
GO:0090162,establishment of epithelial cell polarity,2/45,34/18986,0.0588235294117647,24.8183006535948,6.77536682357974,0.00293650951676171,0.109500085462942,0.0951484215938789,RHOA/PTK7,2
GO:0046634,regulation of alpha-beta T cell activation,3/45,122/18986,0.0245901639344262,10.3748633879781,5.06335147138798,0.00301722393927738,0.109500085462942,0.0951484215938789,HLA-E/RHOA/HLA-A,3
GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,2/45,37/18986,0.0540540540540541,22.806006006006,6.47133596372591,0.00347043329232064,0.120909895904451,0.105062801565412,HLA-E/HLA-A,2
GO:0001916,positive regulation of T cell mediated cytotoxicity,2/45,41/18986,0.0487804878048781,20.5810298102981,6.11772932129538,0.0042472969073229,0.137014652084379,0.119056782704295,HLA-E/HLA-A,2
GO:0002478,antigen processing and presentation of exogenous peptide antigen,2/45,41/18986,0.0487804878048781,20.5810298102981,6.11772932129538,0.0042472969073229,0.137014652084379,0.119056782704295,HLA-E/HLA-A,2
GO:0046640,regulation of alpha-beta T cell proliferation,2/45,43/18986,0.0465116279069767,19.6237726098191,5.95919523706736,0.00466317560673824,0.14505806976675,0.126045987264842,HLA-E/HLA-A,2
GO:1903426,regulation of reactive oxygen species biosynthetic process,2/45,45/18986,0.0444444444444444,18.7516049382716,5.81102219948601,0.00509712011841463,0.153089366315143,0.133024659351728,RHOA/COA8,2
GO:0046633,alpha-beta T cell proliferation,2/45,46/18986,0.0434782608695652,18.343961352657,5.74046840830215,0.0053208130649561,0.154480939319225,0.134233845393103,HLA-E/HLA-A,2
GO:2000378,negative regulation of reactive oxygen species metabolic process,2/45,47/18986,0.0425531914893617,17.9536643026005,5.67210278326382,0.00554895782395709,0.155781818746327,0.135364224640291,RHOA/COA8,2
GO:0042269,regulation of natural killer cell mediated cytotoxicity,2/45,49/18986,0.0408163265306122,17.2208616780045,5.54148901825868,0.00601851727147339,0.155781818746327,0.135364224640291,HLA-E/HLA-A,2
GO:0045197,establishment or maintenance of epithelial cell apical/basal polarity,2/45,49/18986,0.0408163265306122,17.2208616780045,5.54148901825868,0.00601851727147339,0.155781818746327,0.135364224640291,RHOA/PTK7,2
GO:0019884,antigen processing and presentation of exogenous antigen,2/45,50/18986,0.04,16.8764444444444,5.47903700099862,0.00625988938705101,0.155781818746327,0.135364224640291,HLA-E/HLA-A,2
GO:0060976,coronary vasculature development,2/45,50/18986,0.04,16.8764444444444,5.47903700099862,0.00625988938705101,0.155781818746327,0.135364224640291,PTK7/SNX17,2
GO:0001914,regulation of T cell mediated cytotoxicity,2/45,51/18986,0.0392156862745098,16.5455337690632,5.41836400358727,0.006505628168791,0.157400059306027,0.136770369981308,HLA-E/HLA-A,2
GO:0035088,establishment or maintenance of apical/basal cell polarity,2/45,53/18986,0.0377358490566038,15.9211740041929,5.30201946612132,0.00701012137670983,0.160679361029323,0.139619868971035,RHOA/PTK7,2
GO:0061245,establishment or maintenance of bipolar cell polarity,2/45,53/18986,0.0377358490566038,15.9211740041929,5.30201946612132,0.00701012137670983,0.160679361029323,0.139619868971035,RHOA/PTK7,2
GO:0001738,morphogenesis of a polarized epithelium,2/45,54/18986,0.037037037037037,15.6263374485597,5.24619375999772,0.00726883380475826,0.162337288306268,0.141060499476955,RHOA/PTK7,2
GO:0002715,regulation of natural killer cell mediated immunity,2/45,55/18986,0.0363636363636364,15.3422222222222,5.19183784571187,0.00753182890229102,0.164005574347387,0.142510131072296,HLA-E/HLA-A,2
GO:0002707,negative regulation of lymphocyte mediated immunity,2/45,60/18986,0.0333333333333333,14.0637037037037,4.93995092535614,0.0089103181673655,0.184783026756556,0.160564380008416,HLA-E/HLA-A,2
GO:1903409,reactive oxygen species biosynthetic process,2/45,60/18986,0.0333333333333333,14.0637037037037,4.93995092535614,0.0089103181673655,0.184783026756556,0.160564380008416,RHOA/COA8,2
GO:0001913,T cell mediated cytotoxicity,2/45,61/18986,0.0327868852459016,13.8331511839709,4.89317095992786,0.00919857450959439,0.186324613903644,0.161903918540964,HLA-E/HLA-A,2
GO:1901224,positive regulation of non-canonical NF-kappaB signal transduction,2/45,66/18986,0.0303030303030303,12.7851851851852,4.67474492146863,0.0107015266870852,0.211841585101164,0.18407649971326,RHOA/TRIM26,2
GO:0046631,alpha-beta T cell activation,3/45,196/18986,0.0153061224489796,6.4578231292517,3.74364111798585,0.0111843621448353,0.216479542847812,0.188106582038282,HLA-E/RHOA/HLA-A,3
GO:0001912,positive regulation of leukocyte mediated cytotoxicity,2/45,71/18986,0.028169014084507,11.8848200312989,4.47875555655078,0.0123054184017054,0.228042966550753,0.198154441899803,HLA-E/HLA-A,2
GO:0002704,negative regulation of leukocyte mediated immunity,2/45,71/18986,0.028169014084507,11.8848200312989,4.47875555655078,0.0123054184017054,0.228042966550753,0.198154441899803,HLA-E/HLA-A,2
GO:0048002,antigen processing and presentation of peptide antigen,2/45,72/18986,0.0277777777777778,11.7197530864198,4.44190681684339,0.0126380904029585,0.229328682103685,0.199271644730859,HLA-E/HLA-A,2
GO:0002711,positive regulation of T cell mediated immunity,2/45,75/18986,0.0266666666666667,11.250962962963,4.33558948537009,0.0136595395006466,0.2428052837768,0.210981931277441,HLA-E/HLA-A,2
GO:0031343,positive regulation of cell killing,2/45,78/18986,0.0256410256410256,10.8182336182336,4.23514195499294,0.0147157292186817,0.252513323955331,0.219417584052067,HLA-E/HLA-A,2
GO:0019731,antibacterial humoral response,2/45,79/18986,0.0253164556962025,10.68129395218,4.2028679575885,0.0150754223256914,0.252513323955331,0.219417584052067,HLA-E/HLA-A,2
GO:0042267,natural killer cell mediated cytotoxicity,2/45,79/18986,0.0253164556962025,10.68129395218,4.2028679575885,0.0150754223256914,0.252513323955331,0.219417584052067,HLA-E/HLA-A,2
GO:0002228,natural killer cell mediated immunity,2/45,84/18986,0.0238095238095238,10.0455026455026,4.04975335789648,0.0169302503521586,0.278231095410003,0.241764647531322,HLA-E/HLA-A,2
GO:0002720,positive regulation of cytokine production involved in immune response,2/45,85/18986,0.0235294117647059,9.92732026143791,4.02066873157142,0.0173123555930177,0.279241883731823,0.24264295655711,HLA-E/HLA-A,2
GO:0032456,endocytic recycling,2/45,90/18986,0.0222222222222222,9.3758024691358,3.88215478199972,0.0192775468096884,0.280544724784127,0.243775040328464,VPS29/SNX17,2
GO:0045824,negative regulation of innate immune response,2/45,93/18986,0.021505376344086,9.07335722819594,3.80412945013911,0.0204997254371936,0.280544724784127,0.243775040328464,HLA-E/HLA-A,2
GO:0001910,regulation of leukocyte mediated cytotoxicity,2/45,98/18986,0.0204081632653061,8.61043083900227,3.68162372490916,0.02260687394135,0.280544724784127,0.243775040328464,HLA-E/HLA-A,2
GO:0001788,antibody-dependent cellular cytotoxicity,1/45,10/18986,0.1,42.1911111111111,6.3505490792265,0.0234559706793136,0.280544724784127,0.243775040328464,HLA-E,1
GO:0002370,natural killer cell cytokine production,1/45,10/18986,0.1,42.1911111111111,6.3505490792265,0.0234559706793136,0.280544724784127,0.243775040328464,HLA-E,1
GO:0002727,regulation of natural killer cell cytokine production,1/45,10/18986,0.1,42.1911111111111,6.3505490792265,0.0234559706793136,0.280544724784127,0.243775040328464,HLA-E,1
GO:0002883,regulation of hypersensitivity,1/45,10/18986,0.1,42.1911111111111,6.3505490792265,0.0234559706793136,0.280544724784127,0.243775040328464,HLA-E,1
GO:0032815,negative regulation of natural killer cell activation,1/45,10/18986,0.1,42.1911111111111,6.3505490792265,0.0234559706793136,0.280544724784127,0.243775040328464,HLA-E,1
GO:0032819,positive regulation of natural killer cell proliferation,1/45,10/18986,0.1,42.1911111111111,6.3505490792265,0.0234559706793136,0.280544724784127,0.243775040328464,HLA-E,1
GO:0071421,manganese ion transmembrane transport,1/45,10/18986,0.1,42.1911111111111,6.3505490792265,0.0234559706793136,0.280544724784127,0.243775040328464,ATP13A1,1
GO:0071803,positive regulation of podosome assembly,1/45,10/18986,0.1,42.1911111111111,6.3505490792265,0.0234559706793136,0.280544724784127,0.243775040328464,RHOA,1
GO:1901856,negative regulation of cellular respiration,1/45,10/18986,0.1,42.1911111111111,6.3505490792265,0.0234559706793136,0.280544724784127,0.243775040328464,RHOA,1
GO:0050870,positive regulation of T cell activation,3/45,260/18986,0.0115384615384615,4.86820512820513,3.06114404633747,0.0236067286471791,0.280544724784127,0.243775040328464,HLA-E/RHOA/HLA-A,3
GO:0042147,retrograde transport, endosome to Golgi,2/45,103/18986,0.0194174757281553,8.19244875943905,3.56754941984071,0.0247997971060274,0.280544724784127,0.243775040328464,VPS29/TBC1D5,2
GO:0042102,positive regulation of T cell proliferation,2/45,104/18986,0.0192307692307692,8.11367521367522,3.54565774282728,0.0252484785455309,0.280544724784127,0.243775040328464,HLA-E/HLA-A,2
GO:0001794,type IIa hypersensitivity,1/45,11/18986,0.0909090909090909,38.3555555555556,6.04047033105668,0.0257717633289465,0.280544724784127,0.243775040328464,HLA-E,1
GO:0002445,type II hypersensitivity,1/45,11/18986,0.0909090909090909,38.3555555555556,6.04047033105668,0.0257717633289465,0.280544724784127,0.243775040328464,HLA-E,1
GO:0070475,rRNA base methylation,1/45,11/18986,0.0909090909090909,38.3555555555556,6.04047033105668,0.0257717633289465,0.280544724784127,0.243775040328464,METTL15,1
GO:2000672,negative regulation of motor neuron apoptotic process,1/45,11/18986,0.0909090909090909,38.3555555555556,6.04047033105668,0.0257717633289465,0.280544724784127,0.243775040328464,RHOA,1
