ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0042608,T cell receptor binding,2/44,11/18737,0.181818181818182,77.4256198347107,12.3009336749668,0.000292458584266471,0.03480257152771,0.0310929652746458,HLA-E/HLA-A,2
GO:0016922,nuclear receptor binding,3/44,137/18737,0.0218978102189781,9.32498341074984,4.74474047189697,0.00406840260392865,0.216103234965887,0.193068790195087,TOB2/TRERF1/BRD8,3
GO:0042605,peptide antigen binding,2/44,47/18737,0.0425531914893617,18.1208897485493,5.70158867294654,0.00544798071342571,0.216103234965887,0.193068790195087,HLA-E/HLA-A,2
GO:0030374,nuclear receptor coactivator activity,2/44,57/18737,0.0350877192982456,14.9417862838915,5.11437639623912,0.00792492686255022,0.232527761075553,0.207742625994081,TRERF1/BRD8,2
GO:0005522,profilin binding,1/44,10/18737,0.1,42.5840909090909,6.38143544826409,0.0232418673713969,0.232527761075553,0.207742625994081,WIPF1,1
GO:1905394,retromer complex binding,1/44,10/18737,0.1,42.5840909090909,6.38143544826409,0.0232418673713969,0.232527761075553,0.207742625994081,TBC1D5,1
GO:0005225,volume-sensitive anion channel activity,1/44,11/18737,0.0909090909090909,38.7128099173554,6.0699903316888,0.0255368082501095,0.232527761075553,0.207742625994081,TTYH3,1
GO:0008046,axon guidance receptor activity,1/44,11/18737,0.0909090909090909,38.7128099173554,6.0699903316888,0.0255368082501095,0.232527761075553,0.207742625994081,PTK7,1
GO:0008526,phosphatidylinositol transfer activity,1/44,11/18737,0.0909090909090909,38.7128099173554,6.0699903316888,0.0255368082501095,0.232527761075553,0.207742625994081,PITPNA,1
GO:0019864,IgG binding,1/44,11/18737,0.0909090909090909,38.7128099173554,6.0699903316888,0.0255368082501095,0.232527761075553,0.207742625994081,FCGRT,1
GO:0042809,nuclear vitamin D receptor binding,1/44,15/18737,0.0666666666666667,28.3893939393939,5.14845837298419,0.0346639917392277,0.232527761075553,0.207742625994081,TOB2,1
GO:0008525,phosphatidylcholine transporter activity,1/44,18/18737,0.0555555555555556,23.6578282828283,4.66593286368216,0.0414544998463138,0.232527761075553,0.207742625994081,PITPNA,1
GO:1901611,phosphatidylglycerol binding,1/44,18/18737,0.0555555555555556,23.6578282828283,4.66593286368216,0.0414544998463138,0.232527761075553,0.207742625994081,PITPNA,1
GO:0005229,intracellularly calcium-gated chloride channel activity,1/44,19/18737,0.0526315789473684,22.4126794258373,4.53047114045284,0.0437076117650465,0.232527761075553,0.207742625994081,TTYH3,1
GO:0141147,intracellularly calcium-gated channel activity,1/44,19/18737,0.0526315789473684,22.4126794258373,4.53047114045284,0.0437076117650465,0.232527761075553,0.207742625994081,TTYH3,1
GO:0042288,MHC class I protein binding,1/44,20/18737,0.05,21.2920454545455,4.40502095021216,0.0459555477134564,0.232527761075553,0.207742625994081,HLA-E,1
GO:0003841,1-acylglycerol-3-phosphate O-acyltransferase activity,1/44,21/18737,0.0476190476190476,20.2781385281385,4.28838235023081,0.048198319306159,0.232527761075553,0.207742625994081,AGPAT1,1
GO:0061629,RNA polymerase II-specific DNA-binding transcription factor binding,3/44,349/18737,0.00859598853868195,3.66052357384736,2.43409683385198,0.0484199796759494,0.232527761075553,0.207742625994081,TOB2/TRERF1/BRD8,3
GO:0042171,lysophosphatidic acid acyltransferase activity,1/44,22/18737,0.0454545454545455,19.3564049586777,4.17954811172614,0.0504359381323248,0.232527761075553,0.207742625994081,AGPAT1,1
GO:0071617,lysophospholipid acyltransferase activity,1/44,22/18737,0.0454545454545455,19.3564049586777,4.17954811172614,0.0504359381323248,0.232527761075553,0.207742625994081,AGPAT1,1
GO:0008649,rRNA methyltransferase activity,1/44,23/18737,0.0434782608695652,18.5148221343874,4.07766563287476,0.0526684157557381,0.232527761075553,0.207742625994081,METTL15,1
GO:0048027,mRNA 5'-UTR binding,1/44,24/18737,0.0416666666666667,17.7433712121212,3.98200766924649,0.0548957637148462,0.232527761075553,0.207742625994081,RPL41,1
GO:0140102,catalytic activity, acting on a rRNA,1/44,24/18737,0.0416666666666667,17.7433712121212,3.98200766924649,0.0548957637148462,0.232527761075553,0.207742625994081,METTL15,1
GO:0008483,transaminase activity,1/44,25/18737,0.04,17.0336363636364,3.89194956597691,0.0571179935228165,0.232527761075553,0.207742625994081,BCAT2,1
GO:0015662,P-type ion transporter activity,1/44,25/18737,0.04,17.0336363636364,3.89194956597691,0.0571179935228165,0.232527761075553,0.207742625994081,ATP13A1,1
GO:0140358,P-type transmembrane transporter activity,1/44,25/18737,0.04,17.0336363636364,3.89194956597691,0.0571179935228165,0.232527761075553,0.207742625994081,ATP13A1,1
GO:0019865,immunoglobulin binding,1/44,26/18737,0.0384615384615385,16.3784965034965,3.80695135059801,0.0593351166675896,0.232527761075553,0.207742625994081,FCGRT,1
GO:0050750,low-density lipoprotein particle receptor binding,1/44,26/18737,0.0384615384615385,16.3784965034965,3.80695135059801,0.0593351166675896,0.232527761075553,0.207742625994081,SNX17,1
GO:0120014,phospholipid transfer activity,1/44,26/18737,0.0384615384615385,16.3784965034965,3.80695135059801,0.0593351166675896,0.232527761075553,0.207742625994081,PITPNA,1
GO:0001671,ATPase activator activity,1/44,27/18737,0.037037037037037,15.7718855218855,3.72654350561812,0.0615471446119343,0.232527761075553,0.207742625994081,DNAJC19,1
GO:0046966,nuclear thyroid hormone receptor binding,1/44,28/18737,0.0357142857142857,15.2086038961039,3.65031555912388,0.0637540887934985,0.232527761075553,0.207742625994081,BRD8,1
GO:0003823,antigen binding,2/44,177/18737,0.0112994350282486,4.81176168464304,2.47200111112892,0.0648387347188258,0.232527761075553,0.207742625994081,HLA-E/HLA-A,2
GO:0016769,transferase activity, transferring nitrogenous groups,1/44,29/18737,0.0344827586206897,14.6841692789969,3.57790685647273,0.0659559606248676,0.232527761075553,0.207742625994081,BCAT2,1
GO:0031210,phosphatidylcholine binding,1/44,30/18737,0.0333333333333333,14.194696969697,3.50899903670464,0.0681527714936144,0.232527761075553,0.207742625994081,PITPNA,1
GO:0016411,acylglycerol O-acyltransferase activity,1/44,31/18737,0.032258064516129,13.7368035190616,3.44330985347522,0.0703445327623523,0.232527761075553,0.207742625994081,AGPAT1,1
GO:0070325,lipoprotein particle receptor binding,1/44,31/18737,0.032258064516129,13.7368035190616,3.44330985347522,0.0703445327623523,0.232527761075553,0.207742625994081,SNX17,1
